character,isla_set,isla_set1
Morpho group,,
OTU,,
Accession number,,
Location,,
collection_number,,
ID,,
Habit; type ,,
"Habit; height, population min",,
"Habit; height, population max",,
Habit; number of stems at plant base,,
Habit; stem posture,,
Branchlet; indumentum type,,
Branchlet; indumentum hair length,,
Leaf; new leaf posture,,y
Leaf; posture,,
Leaf; density,,y
Petiole; presence,,
Petiole; shape,,
Petiole; length max,y,y
Petiole; width max,y,y
Petiole; length max/width max,y,y
Petiole; length min,,
Petiole; width min,,
Petiole; colour,,
Petiole; shape in cross section,,
Petiole; posture,,
Petiole; indumentum,,
"Petiole; indumentum, hair length max",,
"Petiole; indumentum, hair length min",,
Lamina; shape,,
Lamina; length max,y,y
Lamina; width max,y,y
Lamina; length to widest point,y,y
Lamina; length min,,
Lamina; width min,,
Lamina; transverse posture,,y
Lamina; shape in cross section,,y
Lamina; apex shape,,
Lamina; whether pungent,,
"Lamina; apex (mucro), length",y,y
"Lamina; apex (mucro),  colour",,
Lamina; margin,,
Lamina; margin colour,,
Lamina; margin hyaline section presence (at widest point),,
Lamina; margin width (of hyaline section),y,y
Lamina; margin indumentum type,,
Lamina; margin indumentum extent,,
Lamina; margin indumentum hair length max,,y
Lamina; margin indumentum hair length min,,
Lamina; adaxial surface colour,,
Lamina; adaxial surface whether glaucous,,y
Lamina adaxial surface; indumentum type,,
Lamina adaxial surface; indumentum extent,,
Lamina adaxial surface indumentum; hair length max,,
Lamina adaxial surface indumentum; hair length min,,
Lamina adaxial surface venation,,
Lamina abaxial surface; colour,,
Lamina abaxial surface; whether discolorous,,y
Lamina abaxial surface; indumentum type,,
Lamina abaxial surface; indumentum extent,,
Lamina abaxial surface indumentum; hair length max,,
Lamina abaxial surface indumentum; hair length min,,
Lamina abaxial surface veins; number of,y,y
Lamina abaxial surface veins; number of/ Lamina width max,,y
Lamina abaxial surface veins; distinctiveness,,
Lamina abaxial surface veins; arrangement,,
Lamina abaxial surface veins; grooved,,
Lamina abaxial surface veins; grooved papillae length max,,
Lamina abaxial surface veins groove papillae length min,,
Lamina abaxial surface midvein enlarged (1),,y
Inflorescence type,,
Flower sexuality,,
Flower arrangement,,
Flower posture,,
Flower length relative to subtending leaf length,,y
Bud; length ,y,y
Bud; width,y,y
Bud; length_to_widest_ point,y,y
Bracts; number of,,
Bract; imbrication,,
Bract; arrangement,,
Bract; shape of last,,
Bract; shape of first,,
Bract; shape overall,,
Bract; maximum length of first,,
Bract; maximum width of first,,
Bract; minimum length of first,,
Bract; minimum width of first,,
Bract; maximum length of last,y,y
Bract; maximum width of last,y,y
Bract; maximum length to widest point last,y,y
Bract; minimum length of last,,
Bract; minimum width of last,,
Bract; apex angle of last,y,y
Bract; apex mucronate/mucronulate,,
Bract; apex mucro angle of last,,
Bract; apex shape,,
"Bract; apex shape, further description of variation ",,
Bract margins,,
Bract margin; indumentum type,,
Bract margin; indumentum extent,,
Bract margin indumentum; hair length max,,
Bract margin indumentum; hair length min,,
Bract abaxial surface; indumentum,,
Bract abaxial surface indumentum; type and extent ,,
Bract abaxial surface indumentum; hair length most hairs approx. ,,
Bract both surfaces; colour,,
Calyx; number of sepals,,
Calyx; sepal texture,,
Calyx; sepal imbrication,,
Calyx; sepal shape,,
Calyx; sepal length maximum ,y,y
Calyx; sepal width maximum ,y,y
Calyx; sepal length to widest point maximum,y,y
Calyx; sepal length minimum ,,
Calyx; sepal width minimum ,,
Calyx; length relative to open corolla,,y
Calyx; sepal apex angle,y,y
Calyx; sepal apex shape,,
Calyx; sepal apex mucronate,,
Calyx: sepal mucro angle,,
Calyx; sepal margin,,
Calyx; sepal margin indumentum type,,
Calyx; sepal margin indumentum extent,,
Calyx; sepal margin indumentum hair length maximum,,y
Calyx; sepal margin indumentum hair length minimum (common length),,
Calyx; sepal adaxial surface; indumentum,,
Calyx; sepal abaxial surface; indumentum,y,y
Calyx; sepal abaxial surface indumentum; type and extent,,
Calyx; sepal abaxial surface indumentum; approx hair length max,,
Calyx; sepal abaxial surface indumentum; approx hair length min(common length),,
Calyx surfaces; colour,,
Corolla; shape,,
"Corolla; position of widest point (at opening, below opening)",,y
Corolla; colour,,y
Corolla; tube length maximum,,y
Corolla; tube length to widest point maximum,,y
Corolla; tube width maximum,,y
Corolla; tube length minimum,,
Corolla; tube width minimum,,
Corolla; tube internal surface indumentum,,
Corolla; number of lobes,,
Corolla; lobes shape,,
Corolla; lobes length maximum,,y
Corolla; lobes width maximum,,y
Corolla; lobes length minimum,,
Corolla; lobes width minimum,,
