scientific_name,scientific_name_authorship,family,scientific_name_OTU,id_vetting_by,herbarium_code,voucher_herbarium_collector_id,voucher_herbarium_catalog_number ,voucher_collection_number ,voucher_herbarium_recorded_by ,voucher_herbarium_event_date ,silica_gel_pressed_sheet,decimal_latitude ,decimal_longitude,country ,state_or_territory,location_ID  ,location_notes,DArT_plate ,DArT_row,DArT_column,pop (=collection site),collection_number,pop ,Main_PCA_group,Secondary_PCA_groups,Tertiary_PCA_group,Quarternary_PCA_group,Quinary_PCA_group,PCOA_Notes,PCOA_Map_groups_1,isla_group
Melichrus erubescens,A.Cunn. ex DC.,Ericaceae,M. erubescens s.s.,Helen_Kennedy,NE,R.W. Medd,109716,7110,R.W. Medd,26-Oct-19,silica gel,-33.4238611,148.9079444,Australia,NSW,Canobolas SF,NCT,6,G,1,M.erubescens_CanobolasSF,RWM7110,M.erubescens_CanobolasSF,B,BA,BAA,NA,BAABA,,M.erubescens s.s.,y
Melichrus erubescens,A.Cunn. ex DC.,Ericaceae,M. erubescens s.s.,Helen_Kennedy,NE,S. Dema,109544,400,S. Dema,11-Oct-19,silica gel,-33.7953889,148.4473611,Australia,NSW,Conimbla NP,NCWS,5,G,10,M.erubescens_Conimbla,SD400,M.erubescens_Conimbla,B,BA,BAA,NA,BAABA,,M.erubescens s.s.,y
Melichrus erubescens,A.Cunn. ex DC.,Ericaceae,M. erubescens s.s.,Helen_Kennedy,NE,S. Dema,109544,400,S. Dema,11-Oct-19,silica gel,-33.7953889,148.4473611,Australia,NSW,Conimbla NP,NCWS,5,H,10,M.erubescens_Conimbla,SD400a,M.erubescens_Conimbla,B,BA,BAA,NA,BAABA,,M.erubescens s.s.,y
Melichrus erubescens,A.Cunn. ex DC.,Ericaceae,M. erubescens s.s.,Helen_Kennedy,NE,S. Dema,109544,400,S. Dema,11-Oct-19,silica gel,-33.7953889,148.4473611,Australia,NSW,Conimbla NP,NCWS,5,A,11,M.erubescens_Conimbla,SD400b,M.erubescens_Conimbla,B,BA,BAA,NA,BAABA,,M.erubescens s.s.,y
Melichrus erubescens,A.Cunn. ex DC.,Ericaceae,M. erubescens s.s.,Helen_Kennedy,NE,S. Dema,109544,400,S. Dema,11-Oct-19,silica gel,-33.7953889,148.4473611,Australia,NSW,Conimbla NP,NCWS,5,B,11,M.erubescens_Conimbla,SD400c,M.erubescens_Conimbla,B,BA,BAA,NA,BAABA,,M.erubescens s.s.,y
Melichrus erubescens,A.Cunn. ex DC.,Ericaceae,M. erubescens s.s.,Helen_Kennedy,NE,S. Dema,109544,400,S. Dema,11-Oct-19,silica gel,-33.7953889,148.4473611,Australia,NSW,Conimbla NP,NCWS,5,C,11,M.erubescens_Conimbla,SD400d,M.erubescens_Conimbla,B,BA,BAA,NA,BAABA,,M.erubescens s.s.,y
Melichrus erubescens,A.Cunn. ex DC.,Ericaceae,M. erubescens s.s.,Helen_Kennedy,NE,S. Dema,109544,400,S. Dema,11-Oct-19,silica gel,-33.7953889,148.4473611,Australia,NSW,Conimbla NP,NCWS,5,D,11,M.erubescens_Conimbla,SD400e,M.erubescens_Conimbla,B,BA,BAA,NA,BAABA,,M.erubescens s.s.,y
Melichrus erubescens,A.Cunn. ex DC.,Ericaceae,M. erubescens s.s.,Helen_Kennedy,NE,S. Dema,109536,392,S. Dema,10-Oct-19,silica gel,-32.6744167,148.3612222,Australia,NSW,Goobang NP,NCWS,6,D,11,M.erubescens_Goobang,SD392,M.erubescens_Goobang,B,BA,BAA,NA,BAABA,,M.erubescens s.s.,y
Melichrus erubescens,A.Cunn. ex DC.,Ericaceae,M. erubescens s.s.,Helen_Kennedy,NE,S. Dema,109536,392,S. Dema,10-Oct-19,silica gel,-32.6744167,148.3612222,Australia,NSW,Goobang NP,NCWS,6,E,11,M.erubescens_Goobang,SD392a,M.erubescens_Goobang,B,BA,BAA,NA,BAABA,,M.erubescens s.s.,y
Melichrus erubescens,A.Cunn. ex DC.,Ericaceae,M. erubescens s.s.,Helen_Kennedy,NE,S. Dema,109543,399,S. Dema,11-Oct-19,silica gel,-32.9548056,148.4100833,Australia,NSW,Goobang NP,NCWS,6,G,11,M.erubescens_Goobang,SD399,M.erubescens_Goobang,B,BA,BAA,NA,BAABA,,M.erubescens s.s.,y
